"Product","Blackbox flight data recorder by Nicholas Sherlock"
28,51626152,-1,-2,-22,0,0,0,-4,11,8,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,2,-5,-350,-14,2072,-3,2,0,0,206,220,231,158,1,0,0,1,1,-0.006989687089339482,0.1676207837633919,4.396409819931269,-5,9,-14,1,1,-15,0,0,-1,-10,206,220,231,158
30,51626653,0,-1,-21,0,0,0,0,11,7,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,2,-5,-350,-11,2071,-3,2,0,0,195,207,236,158,1,0,0,1,1,-0.006882259754818911,0.16762395147503611,4.396454223742096,0,10,-14,1,1,-15,0,0,-1,-10,195,207,236,158
32,51627155,0,0,-21,0,0,0,2,13,4,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,1,-2,-350,-11,2071,-2,1,2,0,193,206,257,158,1,0,0,1,1,-0.0067914361455738755,0.1676197095447589,4.3964720018944785,2,13,-17,1,1,-15,0,1,0,-13,193,206,257,158
34,51627656,4,-1,-22,0,0,0,7,11,0,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-2,2,-1,-350,-9,2072,-5,4,4,0,158,195,267,162,1,0,0,1,1,-0.006671392698746458,0.16762028901222478,4.396480907147731,11,10,-22,1,1,-15,0,3,-1,-14,158,195,267,162
36,51628143,6,0,-24,0,0,0,14,10,-3,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-3,1,1,-350,-9,2072,-4,3,7,0,158,214,312,192,1,0,0,1,1,-0.0065697850732652765,0.1676133113199313,4.396472267730967,20,10,-27,1,1,-15,0,4,0,-16,158,214,312,192
38,51628653,4,0,-26,0,0,0,13,8,-7,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-2,2,4,-350,-9,2072,0,3,10,0,158,243,326,194,1,0,0,1,1,-0.00646787633689538,0.16761644906158388,4.396436205133621,17,8,-33,1,1,-15,0,3,-1,-19,158,243,326,194
40,51629144,7,-2,-29,0,0,0,16,5,-10,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-3,2,6,-350,-8,2072,-2,4,10,0,158,277,361,225,1,0,0,1,1,-0.006357833086697678,0.16761961896057975,4.396384088740906,23,3,-39,1,1,-15,0,4,-1,-21,158,277,361,225
42,51629645,1,-5,-32,0,0,0,8,-1,-11,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,4,7,-350,-8,2072,2,5,9,0,158,320,331,212,1,0,0,1,1,-0.006232474137842201,0.16764034302575992,4.396322158260551,9,-6,-43,1,1,-15,0,1,-3,-22,158,320,331,212
44,51630147,-1,-5,-34,0,0,0,-1,-5,-11,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,4,6,-349,-7,2071,5,5,5,0,158,338,293,182,1,0,0,1,1,-0.006089355910965641,0.16764353791577496,4.396268974419857,-2,-10,-45,1,1,-15,0,0,-3,-21,158,338,293,182
46,51630648,1,-5,-35,0,0,0,-3,-8,-9,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,4,6,-349,-7,2071,2,5,2,0,158,348,298,200,1,0,0,1,1,-0.00597422040434137,0.16764783587774776,4.396215895458369,-2,-13,-44,1,1,-15,0,2,-3,-21,158,348,298,200
48,51631149,2,-7,-36,0,0,0,1,-9,-7,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,5,5,-347,-6,2071,4,6,-1,0,158,354,311,225,1,0,0,1,1,-0.0058500188809681875,0.16762322148762657,4.39617172231281,3,-16,-43,1,1,-15,0,2,-4,-20,158,354,311,225
50,51631651,0,-8,-35,0,0,0,-2,-12,-4,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,5,4,-347,-6,2071,7,6,-4,0,158,355,278,215,1,0,0,1,1,-0.005720014346406341,0.16760218240602798,4.396136344288575,-2,-20,-39,1,1,-15,0,0,-4,-19,158,355,278,215
52,51632152,1,-8,-34,0,0,0,-4,-13,0,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,6,2,-346,-4,2070,4,6,-8,0,158,344,262,220,1,0,0,1,1,-0.005573966357032634,0.1675777985246772,4.396118788416336,-3,-21,-34,1,1,-15,0,1,-5,-17,158,344,262,220
54,51632653,3,-7,-33,0,0,0,0,-11,2,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,5,1,-346,-4,2070,1,4,-7,0,158,318,270,228,1,0,0,1,1,-0.005448084865682257,0.1675485114519335,4.396110046958166,3,-18,-31,1,1,-15,0,2,-4,-16,158,318,270,228
56,51633154,0,-8,-32,0,0,0,0,-8,3,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,5,0,-346,-1,2069,0,5,-7,0,158,304,248,213,1,0,0,1,1,-0.005273088417779402,0.1675255118662158,4.3961101202510795,0,-16,-29,1,1,-15,0,1,-4,-15,158,304,248,213
58,51633656,-1,-5,-29,0,0,0,-4,-4,7,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,4,-4,-346,-1,2069,-4,2,-8,0,158,262,209,170,1,0,0,1,1,-0.005107002904823957,0.16749690296774475,4.396145687846542,-5,-9,-22,1,1,-15,0,0,-3,-11,158,262,209,170
60,51634140,-1,-3,-26,0,0,0,-6,1,10,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,3,-6,-344,3,2069,-6,-1,-8,0,175,234,200,158,1,0,0,1,1,-0.004890513587276456,0.1674307763477406,4.3961969999815125,-7,-2,-16,1,1,-15,0,0,-2,-9,175,234,200,158
62,51634642,-1,-2,-23,0,0,0,-7,6,12,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,1,2,-7,-344,3,2069,-4,-2,-6,0,200,222,210,158,1,0,0,1,1,-0.004688975272580099,0.1673619249587665,4.396259074061495,-8,4,-11,1,1,-15,0,0,-1,-8,200,222,210,158
64,51635143,2,-1,-21,0,0,0,-1,11,12,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,2,-7,-343,8,2069,-6,-2,-4,0,186,182,220,158,1,0,0,1,1,-0.00444149597976488,0.16728316667103177,4.396320947429626,1,10,-9,1,1,-15,0,2,-1,-8,186,182,220,158
66,51635644,4,0,-19,0,0,0,5,13,11,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-2,1,-7,-343,8,2069,-5,-1,-1,0,175,158,232,163,1,0,0,1,1,-0.004217577564136127,0.16720105168605867,4.396382788962017,9,13,-8,1,1,-15,0,3,0,-8,175,158,232,163
68,51636145,2,-2,-18,0,0,0,5,11,9,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,-1,2,-6,-342,11,2068,-1,3,1,0,163,163,221,158,1,0,0,1,1,-0.003954780056116404,0.16712094338412284,4.396435760620974,7,9,-9,1,1,-15,0,2,-1,-9,163,163,221,158
70,51636647,1,-2,-19,0,0,0,3,8,5,0,0,0,1,3,-38,1000,1,1,-15,0,1653,50,766,0,3,-4,-342,11,2068,1,6,3,0,159,186,221,158,1,0,0,1,1,-0.0036956920455871413,0.16705435786885178,4.396471107160161,4,6,-14,1,1,-15,0,1,-2,-11,159,186,221,158
72,51637148,1,-1,-20,0,0,0,1,7,0,0,0,0,1,3,-38,1000,1,1,-15,0,1663,50,766,0,2,0,-341,13,2068,1,5,7,0,170,219,245,158,1,0,0,1,1,-0.0034180981338082497,0.1669705612334917,4.3964708534054555,2,6,-20,1,1,-15,0,1,-1,-15,170,219,245,158
74,51637649,-1,-1,-23,0,0,0,-2,5,-4,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,2,2,-341,13,2068,4,5,10,0,186,262,263,158,1,0,0,1,1,-0.003143724184313928,0.16689165927480137,4.396452872557432,-3,4,-27,1,1,-15,0,0,-1,-17,186,262,263,158
76,51638151,0,-2,-25,0,0,0,-4,2,-8,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,2,3,-341,13,2068,2,3,11,0,176,284,268,158,1,0,0,1,1,-0.0028816583161415717,0.16681727776400135,4.3964259788819575,-4,0,-33,1,1,-15,0,0,-1,-18,176,284,268,158
78,51638652,1,-4,-28,0,0,0,-2,-1,-10,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,0,4,5,-341,13,2068,0,5,12,0,158,304,281,176,1,0,0,1,1,-0.0026380485895067247,0.16676407130422538,4.3963814578228595,-1,-5,-38,1,1,-15,0,1,-3,-20,158,304,281,176
80,51639153,5,-4,-31,0,0,0,4,-3,-12,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,-2,4,6,-340,11,2068,-4,5,10,0,158,324,330,218,1,0,0,1,1,-0.002446107964833963,0.1667024357122084,4.396328099424165,9,-7,-43,1,1,-15,0,3,-3,-21,158,324,330,218
82,51639654,2,-5,-34,0,0,0,4,-3,-13,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,-1,4,8,-340,11,2068,1,7,9,0,158,341,334,210,1,0,0,1,1,-0.0022521010803220358,0.16664456274490827,4.39625700664649,6,-8,-47,1,1,-15,0,2,-3,-23,158,341,334,210
84,51640156,2,-5,-36,0,0,0,2,-7,-13,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,-1,4,9,-341,10,2067,3,5,4,0,158,363,336,218,1,0,0,1,1,-0.0020772569408073643,0.16660344425678847,4.396176902560866,4,-12,-49,1,1,-15,0,2,-3,-24,158,363,336,218
86,51640641,0,-4,-37,0,0,0,0,-7,-11,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,0,4,7,-341,10,2067,8,4,-2,0,158,358,320,202,1,0,0,1,1,-0.0019049177355944479,0.16656374503081614,4.396116670911662,0,-11,-48,1,1,-15,0,1,-3,-22,158,358,320,202
88,51641142,-1,-4,-38,0,0,0,-4,-4,-8,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,3,7,-341,9,2067,9,4,-4,0,158,341,292,168,1,0,0,1,1,-0.0017422856294064821,0.16651906758155854,4.396054458978968,-5,-8,-46,1,1,-15,0,0,-2,-22,158,341,292,168
90,51641644,-2,-5,-38,0,0,0,-9,-4,-5,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,2,4,5,-341,9,2067,6,4,-5,0,165,339,270,158,1,0,0,1,1,-0.00158060110417253,0.16648545243732313,4.396009908269734,-11,-9,-43,1,1,-15,0,-1,-3,-20,165,339,270,158
92,51642145,-1,-6,-37,0,0,0,-8,-3,-1,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,4,3,-341,9,2067,3,5,-4,0,160,317,256,158,1,0,0,1,1,-0.0014367557172504251,0.1664538783620199,4.3959831784206855,-9,-9,-38,1,1,-15,0,0,-3,-18,160,317,256,158
94,51642646,0,-3,-35,0,0,0,-5,0,2,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,3,1,-341,9,2067,-2,1,-4,0,164,285,251,158,1,0,0,1,1,-0.0013015084881546977,0.16641573210181898,4.395974169206922,-5,-3,-33,1,1,-15,0,0,-2,-16,164,285,251,158
96,51643147,-1,-3,-33,0,0,0,-5,1,7,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,2,3,-2,-341,9,2067,-4,-1,-5,0,178,267,239,158,1,0,0,1,1,-0.0011673312207804685,0.16637961738249604,4.395991760606083,-6,-2,-26,1,1,-15,0,-1,-2,-13,178,267,239,158
98,51643649,-1,-3,-30,0,0,0,-4,1,10,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,1,3,-4,-342,11,2067,-6,-3,-7,0,170,240,217,158,1,0,0,1,1,-0.0010295426235982924,0.16635526959740732,4.396027124579144,-5,-2,-20,1,1,-15,0,0,-2,-11,170,240,217,158
100,51644150,-7,-5,-27,0,0,0,-11,0,12,0,0,0,1,3,-38,1000,1,1,-15,0,1663,40,766,4,4,-5,-342,11,2067,0,-2,-8,0,204,267,189,158,1,0,0,1,1,-0.0008728464347276696,0.16634087630464844,4.3960712926103485,-18,-5,-15,1,1,-15,0,-3,-3,-10,204,267,189,158
